"Match Number","Team Number","Leave","Auto Processor Scored","Auto Net Scored","Auto L4 Coral","Auto L3 Coral","Auto L2 Coral","Auto L1 Coral","Auto Misses","Did this team remove algae?","Processor scored","Net scored","L4 Coral","L3 Coral","L2 Coral","L1 Coral","Climb Status","Notes/Comments","Did this robot defend?","Did any issues seem to occur during this match?",""
55,8051,"Y","","","","","","",1,"N","","",4,1,"",1,"No Climb","","Not at all","Auto Stop",""
28,3876,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","",""
27,4450,"Y","","","","","",1,2,"Y","",3,4,"","","","No Climb","","Not at all","",""
10,8051,"Y","","",0,"","","","","N","","",5,"","",1,"Deep Climb","","Not at all","",""
10,4579,"N","","","","","","","","N","","","","","","","No Climb","","Not at all","Something broke (major) , Other",""
9,2046,"Y","","",3,"","","","","Y","","",1,2,2,7,"No Climb","","Not at all","",""
8,9023,"Y","","",2,"","","","","Y","","","",2,1,4,"No Climb","","Not at all","",""
9,3663,"Y","","",3,"","","","","Y",0,"","",5,3,2,"Deep Climb","","Not at all","",""
9,8896,"Y","","","","","","",1,"N","","","","",2,"","No Climb","","Not at all","",""
9,3049,"Y","","","","","","","","N","","","",2,"","","No Climb","","Not at all","",""
9,4180,"Y","","","","","","","","N","","","",1,2,0,"No Climb","","Not at all","Auto Stop",""
9,8302,"Y","","","","","",1,"","N","","","","","",1,"No Climb","","Not at all","",""
8,360,"Y","","","","","","","","N","",2,3,4,3,1,"Deep Climb","","Not at all","",""
8,3876,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Auto Stop",""
8,3786,"Y","","","","","","","","N","","",2,"","","","","","Not at all","",""
8,3070,"Y","","","","","","","","Y","","",5,"","","","No Climb","","Not at all","Stuck game piece (for rest of match)",""
8,3574,"Y","","","","","","",0,"N","","","","","","","No Climb","","Partially","",""
7,5683,"Y","","","","","","","","N","","",4,"",1,"","No Climb","","Not at all","",""
10,2980,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Stuck game piece (for rest of match)",""
10,2907,"N","","","","","","","","N","","","","","","","No Climb","","Entire match","Auto Stop , Other",""
11,1294,"Y","","","","","","","","Y","","","",1,1,"","No Climb","","Not at all","",""
11,2910,"Y","","",2,1,"","","","Y",2,"",7,3,4,6,"Deep Climb","","Not at all","",""
13,3876,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Stuck game piece (for rest of match)",""
13,4180,"Y","","","","","","","","N","","",2,"","",1,"No Climb","","Not at all","",""
13,5683,"Y","","","","",0,"",1,"N","","",1,3,1,"","No Climb","","Not at all","",""
13,5295,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
13,8896,"Y","","","","","",1,"","N","","","","",2,2,"No Climb","","Not at all","",""
13,5295,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
12,4450,"Y","","","","","","",3,"Y","",3,1,3,"","","Deep Climb","","Not at all","",""
6,2907,"N","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
12,3681,"Y","","","","","","","","N","","",6,"",1,"","Deep Climb","","Not at all","",""
12,10498,"Y","","","","","","",1,"N","","","","","",5,"No Climb","","Not at all","Auto Stop",""
12,1318,"Y","","",2,"","","","","Y","","",8,3,"","","Deep Climb","","Not at all","",""
12,4173,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Browning out/connection issues",""
11,1294,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Something broke (minor)",""
11,488,"Y","","","","","","","","N","","",9,"","","","No Climb","","Not at all","",""
11,8303,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","",""
11,3588,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","",""
12,1899,"Y","","","","","","",1,"Y","","",5,"","",1,"No Climb","","Not at all","",""
5,8303,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Browning out/connection issues",""
7,4915,"Y","","",1,"","","","","N","","",4,"","","","Deep Climb","","Partially","Stuck game piece (for rest of match)",""
7,2557,"Y","","","","","",1,"","N","","","","","",11,"No Climb","","Not at all","",""
3,2046,"Y","","",2,"","",1,1,"Y","","",7,2,"","","Deep Climb","","Not at all","",""
3,3786,"Y","","",1,"","","","","Y","","",1,1,"","","No Climb","","Not at all","Emergency Stop , Auto Stop",""
3,3219,"Y","","","","","","","","N","","",1,"","",1,"No Climb","","Not at all","",""
3,4450,"Y","",2,"","","","",1,"N","",3,"",2,"","","No Climb","","Not at all","",""
3,360,"Y","","",1,"","","","","N","","",10,4,"","","Deep Climb","","Not at all","",""
2,5683,"Y","","","","","","",1,"N","","",2,4,"","","No Climb","","Not at all","",""
2,10498,"Y","","","","","","","","N","","","","",0,5,"No Climb","","Not at all","Auto Stop",""
3,2557,"Y","","","","","",1,"","N","","","","","",6,"No Climb","","Partially","Browning out/connection issues",""
2,10423,"Y","","","","","","","","N","",1,"","","","","No Climb","","Partially","",""
2,4915,"Y","","",2,"","","","","Y","","",10,1,"","","Deep Climb","","Not at all","",""
2,4180,"Y","","","","","","","","N","","","",2,1,"","No Climb","","Not at all","",""
1,3876,"Y","","","","","","","","N","","","","","","","No Climb","","Partially","",""
1,3070,"Y","","","","","",1,2,"N","","",8,"","","","No Climb","","Not at all","",""
1,8248,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
1,2910,"Y","","",2,2,"","","","Y","",5,3,4,5,5,"Deep Climb","","Not at all","",""
1,5295,"N","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
2,2412,"Y","","",1,"","","","","Y","","",7,2,"",1,"No Climb","","Not at all","",""
13,360,"Y","","","","","",1,"","",2,"",4,"","","","No Climb","","Not at all","",""
4,8302,"Y","","","","","","","","N","","",1,"","","","No Climb","","Partially","Stuck game piece (for rest of match)",""
4,8896,"Y","","","","","","",1,"N","","","","","",1,"No Climb","","Not at all","",""
7,3219,"Y","","","","","","",1,"N","","","","",1,"","Deep Climb","","Not at all","",""
7,5295,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
7,8248,"Y","","","","","","","","N","","","","","","","No Climb","","Partially","",""
6,4579,"Y","","","","","","","","N","","","","","",3,"No Climb","","Not at all","Other",""
6,2928,"Y","","",1,"","","","","Y","","",5,2,"","","No Climb","","Not at all","Auto Stop",""
6,488,"Y","","","","","","","","Y","","",7,2,"",1,"No Climb","","Not at all","",""
6,1294,"Y","","","","","","","","N","","","",2,"",1,"No Climb","","Not at all","",""
4,9023,"Y","","",1,"","","","","Y","","",5,5,5,2,"No Climb","","Not at all","",""
6,3588,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
5,3049,"Y","","","","","","","","Y","","","",2,"",2,"No Climb","","Not at all","",""
5,1318,"Y","","",2,"","","","","Y","","",5,6,1,"","Deep Climb","","Not at all","",""
5,3663,"Y","",0,3,"","","","","Y","",4,7,"","",1,"Deep Climb","","Not at all","",""
5,3681,"Y","","","","","","",1,"N","","",3,"","","","Deep Climb","","Not at all","",""
4,4173,"Y","","","","","","","","N","","","","","","","No Climb","","Partially","Auto Stop , Stuck game piece (for rest of match) , Other",""
4,3574,"Y","","","","","","","","N","","","","",1,0,"No Climb","","Not at all","",""
4,2980,"Y","","","","","","","","Y","","",1,"","","","No Climb","","Partially","Something broke (major)",""
5,8051,"Y","","","","","",0,1,"Y","","",2,2,"",1,"No Climb","","Not at all","",""
27,5683,"Y","","",1,"","","","","N","","",1,"","",1,"No Climb","","Not at all","",""
14,3574,"Y","","","","","","","","N","","",3,"","",1,"No Climb","","Not at all","",""
14,2980,"Y","","","","","","","","N","","","","","","","Deep Climb","","Partially","",""
23,8896,"Y","","","","","",1,"","N","","","","",1,1,"No Climb","","Not at all","",""
23,4579,"Y","","","","","","","","N","","","","","","","No Climb","","Partially","",""
23,2557,"Y","","","","","",1,2,"N","","","","","",12,"No Climb","","Not at all","",""
23,1294,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","Something broke (major)",""
23,10423,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","",""
22,3663,"Y","","",3,"","","","","Y","","","",4,3,5,"Deep Climb","","Not at all","",""
22,8248,"Y","","","","","","","","Y","","",3,"","","","No Climb","","Not at all","",""
22,2412,"Y","","","","","","","","Y","","",6,1,2,1,"","","Not at all","",""
22,4450,"Y","",1,1,"","","","","N",2,1,3,2,0,"","No Climb","","Not at all","",""
22,4173,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","Browning out/connection issues",""
22,2907,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
21,488,"Y","","",1,"","","","","N","","",5,"",3,1,"No Climb","","Not at all","",""
21,3070,"Y","","","","","","","","N","","","",4,"",1,"No Climb","","Not at all","Browning out/connection issues",""
21,2910,"Y","","",2,2,"","","","Y",2,2,8,9,3,"","Deep Climb","","Not at all","",""
21,8051,"Y","","",1,"","","","","Y","","",1,1,6,1,"Deep Climb","","Not at all","",""
23,1899,"Y","","",1,"","","","","Y","","",3,"","",1,"No Climb","","Not at all","",""
24,10498,"Y","","","","","",1,"","N","","","","",0,5,"No Climb","","Not at all","",""
24,1318,"Y","","",2,"","","","","Y","","",6,5,2,"","Deep Climb","","Not at all","",""
24,9023,"Y","","","","","","","","Y","","",4,1,5,5,"No Climb","","Not at all","",""
27,1294,"Y","","","","","",1,"","Y","","","",2,"","","No Climb","","Not at all","",""
27,5683,"Y","","",1,"","","","","N","","",2,"","","","No Climb","","Not at all","",""
27,2907,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
26,4173,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
26,3574,"Y","","","","","","",1,"N","","",1,"",3,"","No Climb","","Not at all","Auto Stop",""
26,360,"Y","","",2,"","","",1,"N","",0,5,4,"","","Deep Climb","","Not at all","",""
26,2980,"Y","","","","","","","","N","","",1,"","","","No Climb","","Partially","Browning out/connection issues",""
21,2046,"Y","","",1,"","","",2,"Y","",1,2,1,2,2,"No Climb","","Not at all","",""
26,8248,"Y","","","","","","","","N","","",3,"","","","No Climb","","Not at all","",""
25,2928,"Y","","","","","","",1,"Y","","","","","","","No Climb","","Not at all","Something broke (major)",""
25,4915,"Y","","",2,"","","","","N","","","","","","","No Climb","","Not at all","Stuck game piece (for rest of match) , Browning out/connection issues",""
25,4180,"Y","","","","","","","","N","","",2,"","","","No Climb","","Not at all","",""
11,10423,"Y","","","","","","",1,"N","",1,"","","","","No Climb","","Not at all","",""
25,488,"Y","","",2,"","","","","Y","","",8,3,"","","No Climb","","Not at all","",""
24,8302,"Y","","","","","","","","N","","","","","",2,"Deep Climb","","Not at all","",""
24,3876,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Something broke (major)",""
26,360,"Y","","",2,"","","","","N","","",6,2,"","","Deep Climb","","Not at all","",""
21,4180,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
20,3681,"Y","","",1,"","","","","N","","",7,1,2,"","Deep Climb","","Not at all","",""
20,3786,"Y","","","","","","","","Y","","",8,1,"","","No Climb","","Not at all","",""
17,4450,"Y","","",0,"","",1,"","Y","",4,"","","",1,"Deep Climb","","Not at all","",""
17,4173,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","Something broke (minor)",""
16,8051,"Y","","","","","",1,"","N","","",4,"","","","No Climb","","Not at all","",""
16,3681,"Y","","",1,"","","","","N","","",4,1,1,"","Deep Climb","","Not at all","",""
16,2557,"Y","","","","","",2,"","N","","","","","",12,"No Climb","","Not at all","",""
16,488,"Y","","",2,"","","","","Y","","",5,1,1,1,"No Climb","","Not at all","",""
16,8248,"Y","","","","","","","","N","","","","",1,"","Deep Climb","","Not at all","Stuck game piece (for rest of match)",""
17,4579,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","",""
16,2412,"Y","","",1,"","","","","Y","",2,2,"","","","Deep Climb","","Not at all","",""
15,3786,"Y","","",1,"","","","","Y","","",5,2,2,"","No Climb","","Not at all","",""
15,2910,"Y","","",2,2,"","","","Y",3,"",6,2,3,5,"Deep Climb","","Not at all","",""
15,1294,"Y","","","","","","","","Y","","",0,"","","","No Climb","","Not at all","",""
15,3588,"N","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
15,8303,"N","","","","","","","","N","","","","","","","No Climb","","Not at all","Did not show up",""
14,4915,"Y","","",1,"","","","","Y","","",4,"","","","Deep Climb","","Not at all","Stuck game piece (for rest of match)",""
14,3049,"Y","","","","","","","","N","","","",4,"","","No Climb","","Not at all","",""
15,3219,"Y","","","","","","","","N","","","",2,3,"","No Climb","","Not at all","",""
14,2928,"Y","","","","","","",1,"Y","","",1,"","",3,"No Climb","","Not at all","",""
17,1318,"Y","","",2,"","","","","Y","","",5,4,1,"","Deep Climb","","Not at all","",""
17,3070,"N","","","","","","","","N","","",3,1,2,"","No Climb","","Not at all","",""
20,3049,"Y","","","","","","","","Y","","","",3,0,"","No Climb","","Not at all","",""
20,5295,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Something broke (major)",""
20,3219,"Y","","","","","","",1,"N","","","",3,2,1,"No Climb","","Not at all","",""
20,3574,"N","","","","","","","","N","","","","","","","No Climb","","Not at all","",""
19,4915,"Y","","",1,"","","","","Y","","",6,3,"",3,"No Climb","","Not at all","",""
19,2928,"Y","","","","","","","","N","","",1,"","",2,"No Climb","","Not at all","",""
19,5683,"Y","","","","","","","","N","","",5,"","","","No Climb","","Not at all","",""
17,2046,"Y","","",2,"","",1,"","N","","",8,6,"",1,"Deep Climb","","Not at all","",""
19,360,"Y","","",1,"","","",2,"N","","",4,1,"","","No Climb","","Not at all","",""
19,8303,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
18,3663,"Y","","",3,"","","","","Y","",3,1,3,2,3,"Deep Climb","","Not at all","",""
18,10423,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Fell Over",""
18,9023,"Y","","",2,"","","","","Y","","",7,3,1,"","","","Not at all","",""
18,1899,"Y","","",1,"","","","","Y",0,"",1,4,3,3,"No Climb","","Not at all","",""
18,10498,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Stuck game piece (for rest of match) , Fell Over",""
18,2907,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","Other",""
19,2980,"Y","","","","","","","","N","","","","","","","No Climb","","Partially","",""
55,360,"Y","","","","","","",1,"N","","",8,1,"","","Deep Climb","","Not at all","",""